Date,Content,Platform,Begin,End,Total,Course Title,Challenges Completed,Course Complete (Y/N),Title,LINK
2022-06-22,Python,Springboard,19:30,20:30,1:00,,,,,
2022-06-22,Python,Datacamp,21:00,22:00,1:00,,,,,
2022-06-23,Python,Springboard,8:00,9:00,1:00,,,,,
2022-06-23,Career Services,Datacamp,9:50,12:00,2:10,Radar Project,,,,
2022-06-23,Python,Springboard | Kaggle,12:00,13:00,1:00,,,,,
2022-06-23,Pandas,Datacamp,14:00,15:00,1:00,,,,,
2022-06-23,Mentor Call,Springboard,18:30,19:15,0:45,,,,,
2022-06-23,Docker,Springboard,20:00,22:00,2:00,,,,,
2022-06-23,Aws,AWS,23:00,24,1:00,,,DBrk,,
2022-06-24,GIT,DataCamp ,9:15,10:15,1:00,,,v!r+u4Lai,,
2022-06-24,GIT,DataCamp ,14:00,17:30,3:30,,,,,
2022-06-24,GIT,DattaCamp,22:00,23:30,1:30,,,1,,
2022-06-25,Aws,AWS,0:30,1:00,0:30,,,,,
2022-06-25,GIT,DataCamp,8:30,9:30,1:00,,,,,
2022-06-25,Shell,DataCamp,10:00,12:30,2:30,,,,,
2022-06-25,GIT,Github,12:30,13:00,0:30,,,,,
2022-06-25,SQL,Udacity,13:00,13:45,0:45,,,,,
2022-06-25,Shell,DataCamp,13:45,15:45,2:00,,,,,
2022-06-25,Shell,DataCamp,20:45,22:00,1:15,,,,,
2022-06-25,Python,Springboard,22:00,23:30,1:30,,,,,
2022-06-25,Data Storytelling,Medium,23:30,23:45,0:15,,,,,
2022-06-26,Data Engineering,Coursera,0:05,1:00,0:55,,,,,
2022-06-26,GIT,Github,7:30,8:30,1:00,,,,,
2022-06-26,Data Science Method,Springboard,10:30,11:30,1:00,,,,,
2022-06-26,Python,DataCamp,21:00,22:00,1:00,,,,,
2022-06-26,Data Engineering,Coursera,23:00,23:30,0:30,,,,,
2022-06-27,Data Science Method,Springboard,16:15,19:00,2:45,,,,,
2022-06-27,Python,DataCamp,20:15,22:45,2:30,,,,,
2022-06-28,Python,DataCamp,13:30,15:15,1:45,,,,,
2022-06-28,Python,DataCamp,16:30,18:00,1:30,,,,,
2022-06-28,Python,DataCamp,21:30,0:30,3:00,,,,,
2022-06-29,Python,DataCamp,15:00,17:30,2:30,,,1,,
2022-06-29,Python,DataCamp,18:30,20:15,1:45,,,,,
2022-06-29,Python,DataCamp,22:30,23:45,1:15,,,,,
2022-06-30,Python,DataCamp,15:30,19:30,4:00,,,,,
2022-07-01,Python,Coursera,13:45,15:00,1:15,,,,,
2022-07-01,Python,DataCamp,15:30,17:00,1:30,,,,,
,Python,,,,0,,,,,
,,,,,0,,,,,
,,,,,0,,,,,
